date,weekday,weekday_name,is_friday_weekend,is_thursday,is_official_holiday,official_holiday_name_en,official_holiday_name_fa,jalali_year,jalali_month,jalali_day,jalali_date,jalali_month_name_en,is_nowruz_window,is_nowruz_official_days,is_ramadan_approx,days_to_nearest_official_holiday,is_day_before_holiday,is_day_after_holiday,is_nonworking_day,weather_hour_count,temperature_mean_c,temperature_min_c,temperature_max_c,relative_humidity_mean_pct,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,cloud_cover_mean_pct,wind_speed_mean_kmh,wind_speed_max_kmh,wind_gust_max_kmh,wet_hours,is_heavy_precipitation_day,is_wet_day,is_hot_day,is_freezing_day,covid_school_closing_level,covid_school_closing_general_flag,covid_workplace_closing_level,covid_workplace_closing_general_flag,covid_public_event_cancel_level,covid_public_event_cancel_general_flag,covid_gathering_restriction_level,covid_gathering_restriction_general_flag,covid_public_transport_closing_level,covid_public_transport_closing_general_flag,covid_stay_home_level,covid_stay_home_general_flag,covid_internal_movement_restriction_level,covid_internal_movement_restriction_general_flag,covid_international_travel_control_level,covid_facial_covering_level,covid_stringency_index,covid_government_response_index,covid_containment_health_index,covid_economic_support_index,covid_confirmed_cases_cumulative,covid_confirmed_deaths_cumulative,covid_data_available,covid_new_cases_derived,covid_new_deaths_derived,covid_any_mobility_restriction,manual_event_count,manual_event_types,manual_event_names,manual_event_confidence_rank
2018-10-01,0,Monday,0,0,0,,,1397,7,9,1397-07-09,Mehr,0,0,0,28,0,0,0,24,22.287499999999998,13.4,30.5,21.166666666666668,0.0,0.0,0.0,5.375,4.995833333333334,8.8,21.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-02,1,Tuesday,0,0,0,,,1397,7,10,1397-07-10,Mehr,0,0,0,27,0,0,0,24,22.570833333333336,13.6,30.6,17.958333333333332,0.0,0.0,0.0,0.08333333333333333,4.1125,7.2,17.6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-03,2,Wednesday,0,0,0,,,1397,7,11,1397-07-11,Mehr,0,0,0,26,0,0,0,24,23.34166666666667,13.7,32.1,18.625,0.0,0.0,0.0,17.041666666666668,7.708333333333333,16.0,33.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-04,3,Thursday,0,1,0,,,1397,7,12,1397-07-12,Mehr,0,0,0,25,0,0,0,24,23.53333333333333,15.3,30.9,19.291666666666668,0.0,0.0,0.0,27.625,5.675,17.7,36.7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-05,4,Friday,1,0,0,,,1397,7,13,1397-07-13,Mehr,0,0,0,24,0,0,1,24,22.829166666666666,13.5,30.2,17.083333333333332,0.0,0.0,0.0,10.166666666666666,5.233333333333333,10.5,19.4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-06,5,Saturday,0,0,0,,,1397,7,14,1397-07-14,Mehr,0,0,0,23,0,0,0,24,19.474999999999998,12.7,26.7,32.5,0.0,0.0,0.0,48.958333333333336,9.116666666666667,20.3,40.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-07,6,Sunday,0,0,0,,,1397,7,15,1397-07-15,Mehr,0,0,0,22,0,0,0,24,17.1875,10.8,24.5,50.791666666666664,1.3,1.3,0.0,38.541666666666664,7.745833333333334,12.3,28.8,3,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-08,0,Monday,0,0,0,,,1397,7,16,1397-07-16,Mehr,0,0,0,21,0,0,0,24,18.016666666666666,10.7,24.4,45.791666666666664,0.0,0.0,0.0,41.541666666666664,5.233333333333333,13.7,28.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-09,1,Tuesday,0,0,0,,,1397,7,17,1397-07-17,Mehr,0,0,0,20,0,0,0,24,18.883333333333333,10.9,26.5,49.125,0.0,0.0,0.0,57.833333333333336,4.7625,12.9,27.4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-10,2,Wednesday,0,0,0,,,1397,7,18,1397-07-18,Mehr,0,0,0,19,0,0,0,24,19.412499999999998,11.7,27.2,43.291666666666664,0.0,0.0,0.0,22.291666666666668,5.929166666666667,11.4,26.6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-11,3,Thursday,0,1,0,,,1397,7,19,1397-07-19,Mehr,0,0,0,18,0,0,0,24,20.091666666666665,11.4,28.1,37.25,0.0,0.0,0.0,21.416666666666668,5.825,20.4,28.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-12,4,Friday,1,0,0,,,1397,7,20,1397-07-20,Mehr,0,0,0,17,0,0,1,24,21.087500000000002,12.8,29.2,29.625,0.0,0.0,0.0,27.833333333333332,4.879166666666666,8.8,22.7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-13,5,Saturday,0,0,0,,,1397,7,21,1397-07-21,Mehr,0,0,0,16,0,0,0,24,19.95,11.8,26.8,31.666666666666668,0.0,0.0,0.0,40.75,8.145833333333334,22.3,35.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
2018-10-14,6,Sunday,0,0,0,,,1397,7,22,1397-07-22,Mehr,0,0,0,15,0,0,0,24,18.954166666666666,12.5,26.0,43.208333333333336,0.0,0.0,0.0,55.541666666666664,5.479166666666667,19.1,29.9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0
