intersection_id,diagram_file,diagram_relative_path,detector_boxes,south_boxes,west_boxes,north_boxes,east_boxes
1001,1001.png,راهنماي شماره تقاطع ها\Graphic\1001.png,12,3,3,3,3
1002,1002.png,راهنماي شماره تقاطع ها\Graphic\1002.png,11,3,3,2,3
1010,1010.png,راهنماي شماره تقاطع ها\Graphic\1010.png,10,3,2,3,2
1012,1012.png,راهنماي شماره تقاطع ها\Graphic\1012.png,4,2,0,0,2
1014,1014.png,راهنماي شماره تقاطع ها\Graphic\1014.png,11,4,3,1,3
1016,1016.png,راهنماي شماره تقاطع ها\Graphic\1016.png,12,3,4,3,2
1017,1017.png,راهنماي شماره تقاطع ها\Graphic\1017.png,14,3,4,3,4
1018,1018.png,راهنماي شماره تقاطع ها\Graphic\1018.png,9,3,0,3,3
1019,1019.png,راهنماي شماره تقاطع ها\Graphic\1019.png,11,4,3,4,0
1021,1021.png,راهنماي شماره تقاطع ها\Graphic\1021.png,7,2,2,1,2
1028,1028.png,راهنماي شماره تقاطع ها\Graphic\1028.png,6,0,2,2,2
1029,1029.png,راهنماي شماره تقاطع ها\Graphic\1029.png,8,0,3,2,3
1031,1031.png,راهنماي شماره تقاطع ها\Graphic\1031.png,12,3,3,3,3
1032,1032.png,راهنماي شماره تقاطع ها\Graphic\1032.png,11,4,3,1,3
1033,1033.png,راهنماي شماره تقاطع ها\Graphic\1033.png,10,3,2,3,2
1034,1034.png,راهنماي شماره تقاطع ها\Graphic\1034.png,11,4,2,3,2
1035,1035.png,راهنماي شماره تقاطع ها\Graphic\1035.png,11,3,2,3,3
1036,1036.png,راهنماي شماره تقاطع ها\Graphic\1036.png,12,3,3,3,3
1037,1037.png,راهنماي شماره تقاطع ها\Graphic\1037.png,12,3,3,3,3
1038,1038.png,راهنماي شماره تقاطع ها\Graphic\1038.png,14,3,4,3,4
1039,1039.png,راهنماي شماره تقاطع ها\Graphic\1039.png,13,4,3,3,3
1040,1040.png,راهنماي شماره تقاطع ها\Graphic\1040.png,11,3,3,3,2
1041,1041.png,راهنماي شماره تقاطع ها\Graphic\1041.png,10,3,2,3,2
1042,1042.png,راهنماي شماره تقاطع ها\Graphic\1042.png,8,2,2,2,2
1043,1043.png,راهنماي شماره تقاطع ها\Graphic\1043.png,14,1,3,2,8
1044,1044.png,راهنماي شماره تقاطع ها\Graphic\1044.png,12,3,2,4,3
1047,1047.png,راهنماي شماره تقاطع ها\Graphic\1047.png,8,2,2,2,2
1048,1048.png,راهنماي شماره تقاطع ها\Graphic\1048.png,6,0,2,2,2
1051,1051.png,راهنماي شماره تقاطع ها\Graphic\1051.png,5,2,0,2,1
1053,1053.png,راهنماي شماره تقاطع ها\Graphic\1053.png,9,2,2,2,3
1054,1054.png,راهنماي شماره تقاطع ها\Graphic\1054.png,8,1,3,2,2
1057,1057.png,راهنماي شماره تقاطع ها\Graphic\1057.png,10,2,3,2,3
1059,1059.png,راهنماي شماره تقاطع ها\Graphic\1059.png,10,0,5,0,5
1064,1064.png,راهنماي شماره تقاطع ها\Graphic\1064.png,8,2,2,2,2
1065,1065.png,راهنماي شماره تقاطع ها\Graphic\1065.png,11,2,4,2,3
1066,1066.png,راهنماي شماره تقاطع ها\Graphic\1066.png,12,2,4,2,4
1067,1067.png,راهنماي شماره تقاطع ها\Graphic\1067.png,10,2,4,1,3
1068,1068.png,راهنماي شماره تقاطع ها\Graphic\1068.png,8,0,3,2,3
1069,1069.png,راهنماي شماره تقاطع ها\Graphic\1069.png,12,3,3,3,3
1070,1070.png,راهنماي شماره تقاطع ها\Graphic\1070.png,10,3,2,3,2
1071,1071.png,راهنماي شماره تقاطع ها\Graphic\1071.png,16,4,4,4,4
1072,1072.png,راهنماي شماره تقاطع ها\Graphic\1072.png,14,5,3,4,2
1074,1074.png,راهنماي شماره تقاطع ها\Graphic\1074.png,8,0,3,3,2
1075,1075.png,راهنماي شماره تقاطع ها\Graphic\1075.png,10,2,2,0,6
1077,1077.png,راهنماي شماره تقاطع ها\Graphic\1077.png,8,2,2,2,2
1078,1078.png,راهنماي شماره تقاطع ها\Graphic\1078.png,7,3,2,0,2
1079,1079.png,راهنماي شماره تقاطع ها\Graphic\1079.png,7,2,2,0,3
1080,1080.png,راهنماي شماره تقاطع ها\Graphic\1080.png,11,0,4,3,4
1081,1081.png,راهنماي شماره تقاطع ها\Graphic\1081.png,12,3,3,3,3
1082,1082.png,راهنماي شماره تقاطع ها\Graphic\1082.png,10,3,2,3,2
1083,1083.png,راهنماي شماره تقاطع ها\Graphic\1083.png,10,3,2,3,2
1084,1084.png,راهنماي شماره تقاطع ها\Graphic\1084.png,14,2,4,3,5
1085,1085.png,راهنماي شماره تقاطع ها\Graphic\1085.png,13,3,4,2,4
1086,1086.png,راهنماي شماره تقاطع ها\Graphic\1086.png,10,3,2,3,2
1088,1088.png,راهنماي شماره تقاطع ها\Graphic\1088.png,8,3,2,2,1
1090,1090.png,راهنماي شماره تقاطع ها\Graphic\1090.png,10,3,2,3,2
1092,1092.png,راهنماي شماره تقاطع ها\Graphic\1092.png,14,4,3,3,4
1093,1093.png,راهنماي شماره تقاطع ها\Graphic\1093.png,11,3,3,3,2
1094,1094.png,راهنماي شماره تقاطع ها\Graphic\1094.png,13,3,3,3,4
1095,1095.png,راهنماي شماره تقاطع ها\Graphic\1095.png,8,3,2,2,1
1109,1109.png,راهنماي شماره تقاطع ها\Graphic\1109.png,10,4,0,3,3
1112,1112.png,راهنماي شماره تقاطع ها\Graphic\1112.png,8,3,0,3,2
1113,1113.png,راهنماي شماره تقاطع ها\Graphic\1113.png,10,3,3,2,2
1115,1115.png,راهنماي شماره تقاطع ها\Graphic\1115.png,9,3,0,3,3
1116,1116.png,راهنماي شماره تقاطع ها\Graphic\1116.png,12,3,3,3,3
1117,1117.png,راهنماي شماره تقاطع ها\Graphic\1117.png,6,2,2,0,2
1119,1119.png,راهنماي شماره تقاطع ها\Graphic\1119.png,8,2,3,3,0
1501,1501.png,راهنماي شماره تقاطع ها\Graphic\1501.png,12,2,4,3,3
1502,1502.png,راهنماي شماره تقاطع ها\Graphic\1502.png,8,2,3,0,3
1503,1503.png,راهنماي شماره تقاطع ها\Graphic\1503.png,11,3,4,0,4
1504,1504.png,راهنماي شماره تقاطع ها\Graphic\1504.png,13,2,4,3,4
