intersection_id,name_fa,gis_id,registry_source,diagram_file,diagram_relative_path,detector_boxes,south_boxes,west_boxes,north_boxes,east_boxes,has_raw_data,has_diagram,has_registry_name
1001,اشراق - ابوريحان,1252,لیست+scats+ها.xlsx,1001.png,راهنماي شماره تقاطع ها\Graphic\1001.png,12.0,3.0,3.0,3.0,3.0,True,True,True
1002,اشراق - فلاطوري,1253,لیست+scats+ها.xlsx,1002.png,راهنماي شماره تقاطع ها\Graphic\1002.png,11.0,3.0,3.0,2.0,3.0,True,True,True
1010,چهارراه جهاد,1005,لیست+scats+ها.xlsx,1010.png,راهنماي شماره تقاطع ها\Graphic\1010.png,10.0,3.0,2.0,3.0,2.0,True,True,True
1012,چهار راه مصدق,1016,لیست+scats+ها.xlsx,1012.png,راهنماي شماره تقاطع ها\Graphic\1012.png,4.0,2.0,0.0,0.0,2.0,True,True,True
1014,شمال پل فلزي,1014,لیست+scats+ها.xlsx,1014.png,راهنماي شماره تقاطع ها\Graphic\1014.png,11.0,4.0,3.0,1.0,3.0,True,True,True
1016,امام خميني امام رضا,1259,لیست+scats+ها.xlsx,1016.png,راهنماي شماره تقاطع ها\Graphic\1016.png,12.0,3.0,4.0,3.0,2.0,True,True,True
1017,,,,1017.png,راهنماي شماره تقاطع ها\Graphic\1017.png,14.0,3.0,4.0,3.0,4.0,True,True,False
1018,سه راه نقشينه,1135,لیست+scats+ها.xlsx,1018.png,راهنماي شماره تقاطع ها\Graphic\1018.png,9.0,3.0,0.0,3.0,3.0,True,True,True
1019,بعثت گلستان,1427,لیست+scats+ها.xlsx,1019.png,راهنماي شماره تقاطع ها\Graphic\1019.png,11.0,4.0,3.0,4.0,0.0,True,True,True
1021,شمال پل آذر,1021,لیست+scats+ها.xlsx,1021.png,راهنماي شماره تقاطع ها\Graphic\1021.png,7.0,2.0,2.0,1.0,2.0,True,True,True
1028,آتشگاه - حجازي,1396,لیست+scats+ها.xlsx,1028.png,راهنماي شماره تقاطع ها\Graphic\1028.png,6.0,0.0,2.0,2.0,2.0,True,True,True
1029,قدس - آتشگاه,1180,لیست+scats+ها.xlsx,1029.png,راهنماي شماره تقاطع ها\Graphic\1029.png,8.0,0.0,3.0,2.0,3.0,True,True,True
1030,نیکبخت,1107,لیست+scats+ها.xlsx,,,,,,,,True,False,True
1031,شيخ صدوق سعادت آباد,1111,لیست+scats+ها.xlsx,1031.png,راهنماي شماره تقاطع ها\Graphic\1031.png,12.0,3.0,3.0,3.0,3.0,True,True,True
1032,چهارراه فرايبورگ,1114,لیست+scats+ها.xlsx,1032.png,راهنماي شماره تقاطع ها\Graphic\1032.png,11.0,4.0,3.0,1.0,3.0,True,True,True
1033,سجاد سپه سالار,1105,لیست+scats+ها.xlsx,1033.png,راهنماي شماره تقاطع ها\Graphic\1033.png,10.0,3.0,2.0,3.0,2.0,True,True,True
1034,چهارراه آپادانا,1110,لیست+scats+ها.xlsx,1034.png,راهنماي شماره تقاطع ها\Graphic\1034.png,11.0,4.0,2.0,3.0,2.0,True,True,True
1035,چهارراه آبشار,1115,لیست+scats+ها.xlsx,1035.png,راهنماي شماره تقاطع ها\Graphic\1035.png,11.0,3.0,2.0,3.0,3.0,True,True,True
