intersection_id,name_fa,gis_id,registry_source,diagram_file,diagram_relative_path,detector_boxes,south_boxes,west_boxes,north_boxes,east_boxes,has_raw_data,has_diagram,has_registry_name,latitude,longitude,geocode_method,geocode_confidence,geocode_query,match_distance_m,osm_type,osm_id,display_name
1001,اشراق - ابوريحان,1252.0,لیست+scats+ها.xlsx,1001.png,راهنماي شماره تقاطع ها\Graphic\1001.png,12.0,3.0,3.0,3.0,3.0,True,True,True,32.7955879,51.690286900000004,street_pair,low,"اشراق, اصفهان, ایران | ابوریحان, اصفهان, ایران",1200.0870498373731,pair,524898316|524906641,"اشراق, سرجوب, لودریچه, دولت آباد, بخش مرکزی برخوار, شهرستان برخوار, استان اصفهان, 83418-35386, ایران | ابوریحان, محله گرگو, سرجوب, دولت آباد, بخش مرکزی برخوار, شهرستان برخوار, استان اصفهان, 83418-35386, ایران"
1002,اشراق - فلاطوري,1253.0,لیست+scats+ها.xlsx,1002.png,راهنماي شماره تقاطع ها\Graphic\1002.png,11.0,3.0,3.0,2.0,3.0,True,True,True,32.6999593,51.68185305,street_pair,low,"اشراق, اصفهان, ایران | فلاطوری, اصفهان, ایران",612.5723969148171,pair,12691845|6683026649,"شیخ اشراق, منطقه ۷, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, ایران | چهارراه فلاطوری, اشراق شمالی, برازنده, منطقه ۷, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81936-15177, ایران"
1010,چهارراه جهاد,1005.0,لیست+scats+ها.xlsx,1010.png,راهنماي شماره تقاطع ها\Graphic\1010.png,10.0,3.0,2.0,3.0,2.0,True,True,True,32.6559332,51.6435424,direct_name,medium,"چهارراه جهاد, اصفهان, ایران",0.0,node,7197557407,"چهارراه جهاد (صارمیه), آتشگاه, جوزدان الیادران, منطقه ۱, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81349-64465, ایران"
1012,چهار راه مصدق,1016.0,لیست+scats+ها.xlsx,1012.png,راهنماي شماره تقاطع ها\Graphic\1012.png,4.0,2.0,0.0,0.0,2.0,True,True,True,,,unmatched,none,چهار راه مصدق,,,,
1014,شمال پل فلزي,1014.0,لیست+scats+ها.xlsx,1014.png,راهنماي شماره تقاطع ها\Graphic\1014.png,11.0,4.0,3.0,1.0,3.0,True,True,True,,,unmatched,none,شمال پل فلزی,,,,
1016,امام خميني امام رضا,1259.0,لیست+scats+ها.xlsx,1016.png,راهنماي شماره تقاطع ها\Graphic\1016.png,12.0,3.0,4.0,3.0,2.0,True,True,True,32.7202773,51.7259451,direct_name,medium,"امام خمینی امام رضا, اصفهان, ایران",0.0,way,317009857,"ورزشگاه امام خمینی, امام رضا, شهرک امام خمینی, منطقه ۱۴, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81977-83543, ایران"
1017,,,,1017.png,راهنماي شماره تقاطع ها\Graphic\1017.png,14.0,3.0,4.0,3.0,4.0,True,True,False,,,,,,,,,
1018,سه راه نقشينه,1135.0,لیست+scats+ها.xlsx,1018.png,راهنماي شماره تقاطع ها\Graphic\1018.png,9.0,3.0,0.0,3.0,3.0,True,True,True,32.7123822,51.7019209,direct_name,medium,"سه راه نقشینه, اصفهان, ایران",0.0,node,81350600,"سه راه نقشینه, بعثت, الهیه, منطقه ۱۴, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81969-95313, ایران"
1019,بعثت گلستان,1427.0,لیست+scats+ها.xlsx,1019.png,راهنماي شماره تقاطع ها\Graphic\1019.png,11.0,4.0,3.0,4.0,0.0,True,True,True,,,unmatched,none,بعثت گلستان,,,,
1021,شمال پل آذر,1021.0,لیست+scats+ها.xlsx,1021.png,راهنماي شماره تقاطع ها\Graphic\1021.png,7.0,2.0,2.0,1.0,2.0,True,True,True,,,unmatched,none,شمال پل آذر,,,,
1028,آتشگاه - حجازي,1396.0,لیست+scats+ها.xlsx,1028.png,راهنماي شماره تقاطع ها\Graphic\1028.png,6.0,0.0,2.0,2.0,2.0,True,True,True,32.65761325,51.640961000000004,street_pair,low,"آتشگاه, اصفهان, ایران | حجازی, اصفهان, ایران",602.7770732726871,pair,428071731|428081314,"آتشگاه, زهران, منطقه ۹, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81349-64465, ایران | حجازی, بهارانچی, منطقه ۹, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81369-94149, ایران"
1029,قدس - آتشگاه,1180.0,لیست+scats+ها.xlsx,1029.png,راهنماي شماره تقاطع ها\Graphic\1029.png,8.0,0.0,3.0,2.0,3.0,True,True,True,32.6530108,51.6154328,direct_name,medium,"قدس - آتشگاه, اصفهان, ایران",0.0,node,7694295577,"قدس, آتشگاه, نصرآباد, منطقه ۹, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81737-56819, ایران"
1030,نیکبخت,1107.0,لیست+scats+ها.xlsx,,,,,,,,True,False,True,32.6755455,51.701516,direct_name,medium,"نیکبخت, اصفهان, ایران",0.0,way,312658487,"نیکبخت, عسگریه, منطقه ۱۰, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81558-47142, ایران"
