year_month,median_intersection_volume,mean_intersection_volume,p25_intersection_volume,p75_intersection_volume,intersections
2018-10,582.1582600147724,639.2745024481975,484.5726617490573,652.0009560306792,64
2018-11,573.5635455259672,630.8013661544301,477.8386517269553,642.6278039216759,67
2018-12,580.3857717957729,636.5967516521205,480.65637640609015,650.7352258834187,68
2019-01,572.9165124495289,618.5490124632051,465.9321254952672,637.9096038415125,67
2019-02,564.6324106682636,611.1761052855152,470.94379691961296,644.1166666714334,66
2019-03,537.979569162924,572.1195097497616,456.27119545837786,634.8420136416499,66
2019-04,547.6056829342647,606.7135588153733,465.6057976075946,642.2478167022404,62
2019-05,561.0187986225885,616.5040305217073,474.164283518769,640.3098920340684,66
2019-06,547.4804070242054,603.2809339847618,463.8125134133518,643.3556418399618,64
2019-07,564.9867359026105,625.5591945623413,486.6450921656673,673.1405119408687,64
2019-08,549.3917671298474,607.5288734043271,468.24941391762206,653.7161093350968,66
2019-09,552.8993679822321,609.6669040519469,468.96293102972504,638.8155788646608,66
2019-10,550.1703441361344,617.3926698493838,461.50234831608077,635.0017150782758,66
2019-11,501.2022909727749,520.2251030798082,445.33306020953654,608.8213838876441,43
2019-12,508.7973251028807,529.352285614446,452.6353481654762,613.0107913000616,39
2020-01,515.6402562373568,534.1468785387684,450.7526823801347,594.6407236505213,41
2020-02,503.6820590751165,522.811037334221,421.67381693735456,605.5836376157947,44
2020-03,384.0560928907703,394.9667815428103,328.5194218376577,450.8740631898553,42
2020-04,417.4542517792479,434.63823422727745,360.5031737747654,477.3174769666435,45
2020-05,502.7035323297981,537.0713654448764,445.52865169995187,593.9619312280544,48
2020-06,536.7658339324228,555.3507263912398,452.758579881708,608.4699981631122,51
2020-07,538.5500936329588,559.0165233093169,461.8203089379083,610.651495530663,47
2020-08,527.072165296859,558.4401144088228,454.7942805436054,603.0379543516085,44
2020-09,554.0977177073707,576.025783499374,472.5568306635912,615.5063447999979,47
2020-10,534.762818218541,550.043764784088,443.7696793872351,591.6151911375174,46
2021-01,518.9291732711533,531.5401032697059,436.72475229239006,584.2734939708625,44
