intersection_id,dtw_cluster
1001,2
1002,2
1010,2
1012,2
1014,2
1016,2
1017,1
1018,2
1019,2
1021,2
1028,2
1029,2
1030,2
1031,1
1032,1
1033,2
1034,2
1035,2
1036,2
1037,2
1038,2
1039,2
1040,2
1041,2
1042,2
1043,2
1044,2
1047,2
1048,2
1051,2
1053,2
1054,2
1057,2
1058,2
1059,2
1064,2
1065,2
1066,2
1067,2
1068,2
1069,2
1070,2
1071,2
1072,2
1074,2
1075,2
1077,2
1078,2
1079,2
1080,2
1081,2
1082,2
1083,2
1084,2
1085,2
1086,2
1088,2
1090,2
1092,2
1093,2
1094,2
1095,2
1096,2
1109,2
1112,2
1113,2
1115,2
1116,2
1117,2
1119,2
1501,2
1502,2
1503,2
1504,2
