year_month,calendar_days,official_holiday_days,friday_days,nowruz_window_days,ramadan_approx_days,manual_event_days,temperature_mean_c,temperature_max_c,precipitation_sum_mm,heavy_precipitation_days,covid_stringency_mean,covid_stringency_max,covid_mobility_restriction_days
2018-10,31,1,4,0,0,0,17.918010752688172,32.1,4.0,0,0.0,0.0,0
2018-11,30,4,5,0,0,0,9.512222222222222,18.5,43.900000000000006,1,0.0,0.0,0
2018-12,31,0,4,0,0,0,6.288306451612903,17.1,3.7,0,0.0,0.0,0
2019-01,31,0,4,0,0,0,5.070430107526882,18.5,19.299999999999997,0,0.0,0.0,0
2019-02,28,2,4,0,0,0,6.734970238095237,17.8,5.7,0,0.0,0.0,0
2019-03,31,5,5,11,0,0,9.63763440860215,20.7,25.4,0,0.0,0.0,0
2019-04,30,4,4,2,0,0,15.353611111111112,26.8,11.799999999999999,0,0.0,0.0,0
2019-05,31,1,5,0,26,0,22.762768817204304,33.4,7.2,0,0.0,0.0,0
2019-06,30,3,4,0,4,0,29.51736111111111,40.2,0.30000000000000004,0,0.0,0.0,0
2019-07,31,0,4,0,0,0,32.49314516129032,41.2,0.0,0,0.0,0.0,0
2019-08,31,2,5,0,0,0,29.453897849462365,41.2,0.0,0,0.0,0.0,0
2019-09,30,2,4,0,0,0,25.799444444444443,36.8,0.0,0,0.0,0.0,0
2019-10,31,3,4,0,0,0,18.551344086021505,33.6,6.1000000000000005,0,0.0,0.0,0
2019-11,30,2,5,0,0,7,7.878055555555556,21.7,21.7,1,0.0,0.0,0
2019-12,31,0,4,0,0,0,5.44247311827957,16.3,29.999999999999996,1,0.0,0.0,0
2020-01,31,1,5,0,0,0,3.4375,13.8,5.2,0,0.0,0.0,0
2020-02,29,1,4,0,0,1,8.089798850574713,21.8,12.5,0,4.533793103448276,20.37,4
2020-03,31,7,4,12,0,0,11.454301075268816,23.6,23.9,0,46.83451612903225,57.41,31
2020-04,30,2,4,1,7,0,16.390138888888888,29.4,22.1,0,54.568,59.26,30
2020-05,31,3,5,0,23,0,23.521505376344084,36.7,3.3999999999999995,0,48.71451612903226,53.7,31
2020-06,30,3,4,0,0,0,29.017777777777777,40.2,0.30000000000000004,0,43.516666666666666,44.44,30
2020-07,31,1,5,0,0,0,30.48508064516129,39.8,0.0,0,52.94483870967742,61.57,31
2020-08,31,3,4,0,0,0,29.7497311827957,41.9,0.0,0,60.32354838709677,61.57,31
2020-09,30,0,4,0,0,0,24.119722222222222,35.1,0.2,0,57.224666666666664,60.19,30
2020-10,31,4,5,0,0,0,15.968145161290321,29.9,0.0,0,63.635161290322586,70.83,31
2020-11,30,1,4,0,0,1,10.679027777777778,25.1,27.0,0,71.45,72.69,30
2020-12,31,0,4,0,0,0,4.557258064516129,14.7,13.4,0,72.69,72.69,31
2021-01,31,1,5,0,0,0,3.411827956989247,16.8,0.0,0,76.62870967741935,80.09,31
