year,month,median_volume,intersections
2018,10,582.1582600147724,64
2018,11,573.5635455259672,67
2018,12,580.3857717957729,68
2019,1,572.9165124495289,67
2019,2,564.6324106682636,66
2019,3,537.979569162924,66
2019,4,547.6056829342647,62
2019,5,561.0187986225885,66
2019,6,547.4804070242054,64
2019,7,564.9867359026105,64
2019,8,549.3917671298474,66
2019,9,552.8993679822321,66
2019,10,550.1703441361344,66
2019,11,501.2022909727749,43
2019,12,508.7973251028807,39
2020,1,515.6402562373568,41
2020,2,503.6820590751165,44
2020,3,384.0560928907703,42
2020,4,417.4542517792479,45
2020,5,502.7035323297981,48
2020,6,536.7658339324228,51
2020,7,538.5500936329588,47
2020,8,527.072165296859,44
2020,9,554.0977177073707,47
2020,10,534.762818218541,46
2021,1,518.9291732711533,44
