month,mean_volume,median_volume,standard_deviation,intersection_months
1,554.9010512187833,546.4834939675716,157.39238475842345,34
2,558.0696178087048,534.3535823996125,155.3617173475946,34
3,545.248674398951,532.9700100262062,150.01407259483386,34
4,545.2587037647778,521.8212224593235,144.6824167795166,34
5,548.3153433716152,534.6198730979581,131.69234518788673,34
6,546.0495993616963,528.7405542034779,136.99545311874493,34
7,565.2483304955389,541.0674215185236,144.4213835067558,34
8,551.5319895558823,540.8306038618895,138.76911378955035,34
9,544.4927503655593,529.2027663024788,133.46793704342522,34
10,537.7901299810333,518.3306554796476,133.54922473173485,34
11,518.4202846960231,500.18632423056135,128.48497005444793,34
12,527.2851458687775,506.17615464725793,134.09581171856868,34
