context_factor,flagged_days_with_traffic,comparison_days_with_traffic,flagged_mean_adjusted_volume_index,flagged_median_adjusted_volume_index,comparison_mean_adjusted_volume_index,adjusted_index_difference_points,flagged_mean_month_adjusted_volume_index,comparison_mean_month_adjusted_volume_index,month_adjusted_index_difference_points,flagged_mean_raw_15min_volume,comparison_mean_raw_15min_volume,interpretation
official_holiday,55,740,87.38890643721358,87.80021774191852,99.4206852104316,-12.031778773218022,85.70528190200626,97.99300859973732,-12.28772669773106,461.20675484290285,535.6136505419217,"descriptive association only; adjusted_volume_index controls for Gregorian month and weekday, while month_adjusted_volume_index retains weekday effects"
friday_weekend,113,682,99.70817736539622,100.0,98.40274613999466,1.3054312254015628,84.81405963225541,99.18567174482568,-14.371612112570276,464.32144169724796,541.4254398908985,"descriptive association only; adjusted_volume_index controls for Gregorian month and weekday, while month_adjusted_volume_index retains weekday effects"
nowruz_window,26,769,80.73538614197007,84.14435201128124,99.19190750334838,-18.456521361378307,80.75398802740209,97.69702624148701,-16.943038214084922,393.1599088807178,535.1083423751405,"descriptive association only; adjusted_volume_index controls for Gregorian month and weekday, while month_adjusted_volume_index retains weekday effects"
ramadan_approx,60,735,100.40266506378708,100.0,98.44018640263798,1.962478661149106,97.86860492231037,97.08367424908484,0.7849306732255315,531.7016538561979,530.3651342666801,"descriptive association only; adjusted_volume_index controls for Gregorian month and weekday, while month_adjusted_volume_index retains weekday effects"
wet_weather,144,651,96.06444432255334,99.69378670934202,99.14656978082712,-3.0821254582737794,95.21357647201908,97.5696802710372,-2.356103799018115,515.412781253522,533.7957487202374,"descriptive association only; adjusted_volume_index controls for Gregorian month and weekday, while month_adjusted_volume_index retains weekday effects"
heavy_precipitation,3,792,87.42357368462558,85.58619667969079,98.63058862211143,-11.207014937485852,89.17019357179288,97.17311399962196,-8.002920427829082,483.9646464652778,530.6421451742247,"descriptive association only; adjusted_volume_index controls for Gregorian month and weekday, while month_adjusted_volume_index retains weekday effects"
hot_day_35c,169,626,99.6395908975175,100.0,98.30448250492921,1.3351083925882818,97.15801612123613,97.13883729061831,0.01917883061781822,546.2461765781487,526.2058611432502,"descriptive association only; adjusted_volume_index controls for Gregorian month and weekday, while month_adjusted_volume_index retains weekday effects"
freezing_day,164,631,99.93163734606321,100.0,98.2391575039806,1.692479842082605,99.46667845419574,96.53895657991738,2.9277218742783617,533.9752804368628,529.5539253973633,"descriptive association only; adjusted_volume_index controls for Gregorian month and weekday, while month_adjusted_volume_index retains weekday effects"
covid_mobility_restriction,284,511,97.9652378466817,100.0,98.93457800647461,-0.9693401597929068,96.11445289715381,97.71450537304166,-1.6000524758878498,493.2569922162109,551.1457673737335,"descriptive association only; adjusted_volume_index controls for Gregorian month and weekday, while month_adjusted_volume_index retains weekday effects"
documented_manual_event,8,787,88.28642568594694,88.0258380954057,98.69301842983297,-10.406592743886037,89.71178250216133,97.21845312375945,-7.5066706215981185,463.192828177896,531.149847893213,"descriptive association only; adjusted_volume_index controls for Gregorian month and weekday, while month_adjusted_volume_index retains weekday effects"
